
Step 14000, Avg Loss: 0.6089041623473167, F1 Score: 0.7128533333333333
Step 14100, Avg Loss: 0.626172485947609, F1 Score: 0.7099935386603489
Step 14200, Avg Loss: 0.5915629506111145, F1 Score: 0.7136845469557342
Step 14300, Avg Loss: 0.6627462854981423, F1 Score: 0.7173236240831619
Step 14400, Avg Loss: 0.6053409580886364, F1 Score: 0.7186908019364344
Step 14500, Avg Loss: 0.5912248748540878, F1 Score: 0.7096426453942759
Step 14600, Avg Loss: 0.6090992891788483, F1 Score: 0.7094860594294343
Step 14700, Avg Loss: 0.6110853457450867, F1 Score: 0.7197606047879043
Step 14800, Avg Loss: 0.6201876658201217, F1 Score: 0.7225981055480379
Step 14900, Avg Loss: 0.617716489136219, F1 Score: 0.7219618869103405
Step 15000, Avg Loss: 0.6114673528075218, F1 Score: 0.7271334456871457
Step 15100, Avg Loss: 0.6093375930190086, F1 Score: 0.7305425419374338
Step 15200, Avg Loss: 0.6104184272885322, F1 Score: 0.7327939266806512
