
-----Step 150000, F1 Score: 0.8447990365798584-----
Step 150500, Avg Loss: 0.3476860015026759
Step 151000, Avg Loss: 0.36606192712992197
Step 151500, Avg Loss: 0.35157609213056273
Step 152000, Avg Loss: 0.31843182507413437
Step 152500, Avg Loss: 0.3843326876441133
Step 153000, Avg Loss: 0.35450091440055986
Step 153500, Avg Loss: 0.3336385531444976
Step 154000, Avg Loss: 0.3263383582876413
Step 154500, Avg Loss: 0.35549873744515936
Step 155000, Avg Loss: 0.3376808886459039
-----Step 155000, F1 Score: 0.8418341061308604-----
Step 155500, Avg Loss: 0.378722483448335
Step 156000, Avg Loss: 0.3503247969163349
Step 156500, Avg Loss: 0.34198174366576134
Step 157000, Avg Loss: 0.3716805979083292
Step 157500, Avg Loss: 0.4311409846310853
Step 158000, Avg Loss: 0.36890914912047446
Step 158500, Avg Loss: 0.34510009414778325
Step 159000, Avg Loss: 0.3330532206809148
Step 159500, Avg Loss: 0.3107873660933692
Step 160000, Avg Loss: 0.35821290308004244
-----Step 160000, F1 Score: 0.8483197093551317-----
   inst_id                                               text  predicted_label
0        0  Really sad review as I absolutely loved the fi...              0.0
1        1  Excellent content, perfect for Christians who ...              1.0
2        2  This is an okay book if you need advice on bud...              0.0
3        3  This is one book you can't put down! This book...              1.0
4        4  There were to many names that I had no idenity...              0.0
